TRANSACTION_ID,TRANSACTION_TIMESTAMP,SENDER_ACCOUNT,RECEIVER_ACCOUNT,AMOUNT,TRANSACTION_TYPE,MERCHANT_CATEGORY,LOCATION,DEVICE_USED,IS_FRAUD,FRAUD_TYPE,TIME_SINCE_LAST_TRANSACTION,SPENDING_DEVIATION_SCORE,VELOCITY_SCORE,GEO_ANOMALY_SCORE,PAYMENT_CHANNEL,IP_ADDRESS,DEVICE_HASH,TXN_HOUR,DAY_NAME,TXN_DATE
T4155154,2023-08-14 03:11:49.147,ACC431485,ACC370682,1150.59,deposit,restaurant,SINGAPORE,atm,FALSE,,3594.618397314,0.19,14,0.12,wire_transfer,161.106.250.133,D5398670,3,Mon,2023-08-14
T4155161,2023-05-23 01:04:44.984,ACC498115,ACC326193,791.32,deposit,travel,TOKYO,mobile,FALSE,,3288.123454345,0.19,13,0.52,card,65.63.181.242,D4130417,1,Tue,2023-05-23
T4155168,2023-03-02 02:28:42.639,ACC440683,ACC971937,254.18,withdrawal,utilities,SINGAPORE,pos,FALSE,,653.44590217,0.84,10,0.83,wire_transfer,29.212.121.108,D1567292,2,Thu,2023-03-02
T4155175,2023-07-17 11:58:22.140,ACC412818,ACC882797,449.83,withdrawal,other,TORONTO,web,FALSE,,2110.868071111,-0.81,9,0.28,UPI,125.122.119.155,D3990758,11,Mon,2023-07-17
T4155182,2023-04-28 00:05:08.490,ACC221059,ACC946652,999.96,deposit,online,SINGAPORE,web,FALSE,,1527.792605786,-0.71,5,0.09,ACH,224.73.210.0,D1806442,0,Fri,2023-04-28
T4155189,2023-06-25 00:06:09.250,ACC402461,ACC167665,303.70,deposit,grocery,SINGAPORE,web,FALSE,,-400.120549161,-1.78,1,0.36,ACH,234.60.203.137,D1564970,0,Sun,2023-06-25
T4155196,2023-08-12 00:10:57.354,ACC300286,ACC239525,18.17,transfer,online,DUBAI,pos,FALSE,,1490.165955049,0.8,2,0.57,ACH,186.235.74.207,D1989940,0,Sat,2023-08-12
T4155203,2023-11-25 09:47:42.732,ACC552500,ACC337089,16.59,transfer,other,SINGAPORE,mobile,FALSE,,-442.417857127,0.64,7,0.96,wire_transfer,169.143.232.225,D1347038,9,Sat,2023-11-25
T4155210,2023-07-30 23:17:13.217,ACC175809,ACC889289,52.39,transfer,grocery,NEW YORK,pos,FALSE,,-799.877800743,0.21,13,0.59,wire_transfer,215.0.173.151,D7319225,23,Sun,2023-07-30
T4155217,2023-08-19 16:48:57.242,ACC673355,ACC250797,26.36,payment,entertainment,SYDNEY,atm,FALSE,,1959.007635899,2.33,18,0.68,card,135.176.112.185,D4808283,16,Sat,2023-08-19
T4155224,2023-09-06 15:05:54.926,ACC538734,ACC963604,382.26,withdrawal,utilities,SINGAPORE,pos,FALSE,,1835.688785476,1.16,10,0.33,wire_transfer,54.138.254.54,D1917980,15,Wed,2023-09-06
T4155231,2023-11-24 15:18:24.041,ACC961338,ACC625910,18.93,transfer,entertainment,TORONTO,mobile,FALSE,,7779.567890089,-0.78,19,0.81,UPI,207.255.150.186,D3882579,15,Fri,2023-11-24
T4155238,2023-10-02 06:46:13.910,ACC607426,ACC400720,108.43,payment,other,DUBAI,atm,FALSE,,-2063.491124898,1.13,8,0.73,wire_transfer,133.220.181.211,D1582409,6,Mon,2023-10-02
T4155245,2023-06-10 11:49:26.527,ACC530815,ACC328433,107.52,withdrawal,retail,DUBAI,mobile,FALSE,,-4775.776796811,-2.38,20,0.22,UPI,253.204.192.193,D2294922,11,Sat,2023-06-10
T4155252,2023-05-28 09:22:38.144,ACC304478,ACC343839,520.25,deposit,other,TORONTO,web,FALSE,,3449.691495856,2.48,14,0.19,wire_transfer,65.57.99.75,D8053517,9,Sun,2023-05-28
T4155259,2023-05-21 17:26:40.099,ACC453505,ACC174581,61.34,payment,retail,TORONTO,atm,FALSE,,-1581.755571188,0.45,3,0.51,wire_transfer,82.192.49.213,D2136624,17,Sun,2023-05-21
T4155266,2023-12-01 16:48:04.060,ACC918845,ACC881267,7.18,transfer,restaurant,BERLIN,web,FALSE,,7072.436217921,-1.26,14,0.81,card,103.229.33.167,D7389769,16,Fri,2023-12-01
T4155273,2023-02-15 21:57:30.111,ACC445902,ACC721876,9.59,payment,restaurant,DUBAI,pos,FALSE,,-3933.065496363,0.36,12,0.15,ACH,212.98.207.48,D1561585,21,Wed,2023-02-15
T4155280,2023-04-13 05:50:25.407,ACC496580,ACC470563,10.83,transfer,restaurant,NEW YORK,atm,FALSE,,-4359.965021898,-1.47,20,0.01,ACH,63.37.40.24,D7155161,5,Thu,2023-04-13
T4155287,2023-09-30 20:43:21.518,ACC965340,ACC522211,1677.64,deposit,restaurant,DUBAI,web,FALSE,,5785.086582317,-0.28,20,0.06,wire_transfer,183.244.126.113,D9537377,20,Sat,2023-09-30
T4155294,2023-03-17 19:56:15.423,ACC395657,ACC729165,1053.59,deposit,entertainment,SYDNEY,atm,FALSE,,-2390.944341835,0.63,4,0.09,ACH,150.213.48.16,D4139660,19,Fri,2023-03-17
T4155301,2023-04-18 12:57:20.511,ACC363322,ACC837631,324.51,withdrawal,other,LONDON,mobile,FALSE,,-1043.670432438,-0.66,12,0.05,wire_transfer,53.240.169.93,D8317194,12,Tue,2023-04-18
T4155308,2023-07-02 23:19:05.053,ACC393221,ACC159760,654.91,withdrawal,grocery,NEW YORK,pos,FALSE,,4238.043442375,0.08,20,0.37,UPI,56.46.39.255,D8023295,23,Sun,2023-07-02
T4155315,2023-03-07 08:41:50.498,ACC185940,ACC961233,40.47,payment,entertainment,SYDNEY,web,FALSE,,-5179.232953359,-0.15,7,0.3,ACH,109.22.59.64,D5469636,8,Tue,2023-03-07
T4155322,2023-01-22 08:03:59.306,ACC257181,ACC781382,749.66,withdrawal,online,TOKYO,pos,FALSE,,-6414.598296758,-1.04,12,0.4,wire_transfer,248.61.207.120,D7495281,8,Sun,2023-01-22
T4155329,2023-04-12 22:10:16.725,ACC981024,ACC353249,1280.18,deposit,entertainment,LONDON,pos,FALSE,,-1641.802872621,1.98,18,0.29,wire_transfer,8.219.1.249,D6551137,22,Wed,2023-04-12
T4155336,2023-11-27 18:18:33.437,ACC891060,ACC148365,8.11,payment,entertainment,TORONTO,web,FALSE,,7409.843280247,-0.5,11,0.68,wire_transfer,33.171.4.69,D9476142,18,Mon,2023-11-27
T4155343,2023-09-27 03:18:18.606,ACC389742,ACC321107,40.37,transfer,online,TORONTO,pos,FALSE,,4295.796788229,1,18,0.28,wire_transfer,183.47.206.249,D1801027,3,Wed,2023-09-27
T4155350,2023-08-18 21:03:38.966,ACC809341,ACC471336,19.43,transfer,restaurant,BERLIN,atm,FALSE,,611.954937248,0.3,10,0.94,card,67.198.37.185,D6226756,21,Fri,2023-08-18
T4155357,2023-03-26 22:30:48.455,ACC844947,ACC471984,1096.25,deposit,other,TOKYO,atm,FALSE,,-1412.986155879,1.09,17,0.5,card,166.30.60.120,D2505454,22,Sun,2023-03-26
T4155364,2023-09-25 07:17:04.466,ACC806906,ACC861576,138.34,withdrawal,retail,TORONTO,pos,FALSE,,-36.091756139,1.56,14,0.24,UPI,244.143.156.239,D3089069,7,Mon,2023-09-25
T4155371,2023-12-04 21:25:45.939,ACC454969,ACC994860,353.07,withdrawal,online,SYDNEY,pos,FALSE,,1363.652881929,2.02,18,0.78,wire_transfer,178.46.154.209,D8761197,21,Mon,2023-12-04
T4155378,2023-11-21 09:34:59.486,ACC381717,ACC717133,1209.66,deposit,travel,SINGAPORE,web,FALSE,,4565.150635947,0.76,3,0.1,card,210.136.105.120,D8452205,9,Tue,2023-11-21
T4155385,2023-10-25 17:35:12.925,ACC490716,ACC683105,908.21,deposit,entertainment,NEW YORK,web,FALSE,,1927.327882795,0.36,1,0.28,card,38.106.136.87,D8151191,17,Wed,2023-10-25
T4155392,2023-10-10 04:46:30.858,ACC504857,ACC808771,11.17,transfer,online,DUBAI,atm,FALSE,,-613.061005246,-2.6,4,0.63,UPI,223.227.233.195,D1934273,4,Tue,2023-10-10
T4155399,2023-01-20 18:12:25.061,ACC794763,ACC387331,270.57,withdrawal,utilities,TORONTO,web,TRUE,card_not_present,-2590.497214156,0.12,19,0.5,ACH,216.6.191.115,D7741990,18,Fri,2023-01-20
T4155406,2023-01-15 21:31:41.846,ACC667631,ACC475081,342.58,withdrawal,grocery,TOKYO,web,FALSE,,-4904.459431778,-0.81,13,0.82,UPI,122.173.5.160,D7502209,21,Sun,2023-01-15
T4155413,2023-09-10 11:33:53.811,ACC388820,ACC606820,113.69,withdrawal,grocery,TORONTO,atm,FALSE,,3065.294391888,-0.14,7,0.74,card,51.91.19.233,D4521809,11,Sun,2023-09-10
T4155420,2023-12-04 03:15:24.259,ACC430156,ACC804602,651.65,withdrawal,travel,TOKYO,pos,FALSE,,14.396394983,-1.17,15,0.01,wire_transfer,36.90.215.238,D5061163,3,Mon,2023-12-04
T4155427,2023-06-26 08:53:36.350,ACC213217,ACC320721,274.71,withdrawal,online,SYDNEY,pos,FALSE,,-3818.213525289,0.73,6,0.55,wire_transfer,25.92.244.27,D7469270,8,Mon,2023-06-26
T4155434,2023-07-20 14:09:33.716,ACC107768,ACC192103,439.56,deposit,other,SINGAPORE,atm,FALSE,,-395.357725712,0.91,3,0.77,card,218.100.214.30,D8954168,14,Thu,2023-07-20
T4155441,2023-05-08 11:58:09.640,ACC655264,ACC559369,19.98,payment,other,TOKYO,mobile,FALSE,,793.133246865,1.3,14,0.19,card,69.169.35.211,D4145176,11,Mon,2023-05-08
T4155448,2023-12-09 07:16:00.937,ACC763777,ACC801462,366.06,withdrawal,retail,DUBAI,mobile,FALSE,,4576.292725474,-0.72,10,0.43,wire_transfer,192.95.75.25,D5620440,7,Sat,2023-12-09
T4155455,2023-06-11 13:18:16.422,ACC587816,ACC688179,15.52,transfer,grocery,SYDNEY,atm,FALSE,,-3023.553185526,2.5,13,0.41,card,47.93.81.186,D1931176,13,Sun,2023-06-11
T4155462,2023-04-20 11:57:10.647,ACC487362,ACC138671,718.40,deposit,other,BERLIN,atm,FALSE,,-2524.291872992,1.95,2,0.65,UPI,204.188.174.63,D7439009,11,Thu,2023-04-20
T4155469,2023-09-09 09:38:31.238,ACC226518,ACC755176,1843.97,deposit,online,LONDON,pos,FALSE,,-1985.207716473,1.63,5,0.46,wire_transfer,113.171.147.8,D6519919,9,Sat,2023-09-09
T4155476,2023-08-19 23:30:06.659,ACC472927,ACC821677,170.84,withdrawal,grocery,TOKYO,pos,FALSE,,-814.674499115,0.3,8,0.63,wire_transfer,247.150.243.57,D9535714,23,Sat,2023-08-19
T4155483,2023-02-07 18:30:27.504,ACC776689,ACC178039,61.10,payment,travel,SYDNEY,atm,FALSE,,-6482.384062732,0.85,18,0.79,UPI,253.176.173.85,D2914077,18,Tue,2023-02-07
T4155490,2023-01-07 00:48:38.272,ACC337820,ACC980835,278.38,withdrawal,other,TOKYO,mobile,FALSE,,-874.149800204,-2,19,0.52,card,165.16.219.14,D4840253,0,Sat,2023-01-07
T4155497,2023-10-05 06:30:55.507,ACC757104,ACC996066,68.47,transfer,retail,DUBAI,web,FALSE,,3647.513862917,-0.93,19,0,card,159.149.252.233,D3985513,6,Thu,2023-10-05
T4155504,2023-09-11 01:48:27.034,ACC890240,ACC276001,211.23,payment,online,LONDON,mobile,FALSE,,3785.11750316,0.12,6,0.77,wire_transfer,67.240.218.164,D3372170,1,Mon,2023-09-11
T4155511,2023-02-19 02:46:23.420,ACC140288,ACC251727,305.22,payment,utilities,NEW YORK,atm,FALSE,,-5133.569190354,-1.3,9,0.4,ACH,64.108.90.196,D9910826,2,Sun,2023-02-19
T4155518,2023-12-13 06:50:45.141,ACC581222,ACC708739,272.28,withdrawal,grocery,TOKYO,atm,FALSE,,6466.156217941,0.41,3,0.39,card,62.146.50.95,D5007654,6,Wed,2023-12-13
T4155525,2023-02-07 16:55:02.168,ACC774822,ACC889678,386.34,payment,utilities,SINGAPORE,mobile,FALSE,,-5885.490285785,1.2,3,0.14,wire_transfer,21.157.55.230,D6789909,16,Tue,2023-02-07
T4155532,2023-02-28 06:36:10.970,ACC660844,ACC415811,247.96,deposit,online,TOKYO,atm,FALSE,,-5284.94630405,0.84,14,0.03,UPI,62.24.107.1,D9508039,6,Tue,2023-02-28
T4155539,2023-06-28 21:23:59.315,ACC158725,ACC846481,697.90,deposit,restaurant,DUBAI,web,FALSE,,-144.534427386,0.77,3,0.45,card,9.102.22.63,D5463740,21,Wed,2023-06-28
T4155546,2023-05-01 08:39:53.205,ACC661285,ACC387228,32.95,transfer,entertainment,DUBAI,mobile,FALSE,,598.277284809,-0.1,8,0.06,wire_transfer,151.242.41.118,D3405371,8,Mon,2023-05-01
T4155553,2023-01-23 03:11:27.601,ACC645096,ACC869851,10.56,transfer,travel,NEW YORK,atm,FALSE,,-5517.445928939,1.23,1,0.2,ACH,253.88.190.118,D3325196,3,Mon,2023-01-23
T4155560,2023-05-19 19:33:52.255,ACC797129,ACC346508,18.08,transfer,retail,LONDON,atm,FALSE,,-601.812204913,0.4,10,0.56,card,23.15.93.100,D7073609,19,Fri,2023-05-19
T4155567,2023-02-02 19:37:04.739,ACC792155,ACC880136,18.56,transfer,retail,SYDNEY,pos,FALSE,,-2677.142101358,-0.16,12,0.1,card,192.34.67.185,D3440899,19,Thu,2023-02-02
T4155574,2023-03-11 08:47:39.933,ACC184247,ACC165918,5.64,transfer,other,LONDON,mobile,FALSE,,-3514.560473967,1.24,5,0.36,wire_transfer,110.207.12.29,D8220353,8,Sat,2023-03-11
T4155581,2023-04-24 17:02:46.002,ACC499117,ACC904813,149.44,payment,retail,LONDON,pos,FALSE,,-262.548124264,1.32,1,0.62,ACH,152.178.122.83,D2258632,17,Mon,2023-04-24
T4155588,2023-01-04 16:07:00.367,ACC498110,ACC551477,80.05,payment,other,NEW YORK,web,FALSE,,-3307.381523826,-2.18,14,0.36,card,43.214.233.83,D8705451,16,Wed,2023-01-04
T4155595,2023-07-01 13:53:02.942,ACC203032,ACC330998,18.25,payment,other,LONDON,pos,FALSE,,309.638695326,0.01,19,0.74,UPI,99.33.136.179,D8468749,13,Sat,2023-07-01
T4155602,2023-04-03 07:19:25.700,ACC593881,ACC575696,14.86,transfer,utilities,SINGAPORE,web,FALSE,,-2141.162630669,-1.56,4,0.49,wire_transfer,50.27.178.115,D4050276,7,Mon,2023-04-03
T4155609,2023-04-04 23:38:33.370,ACC590064,ACC321395,882.78,deposit,retail,BERLIN,pos,FALSE,,-6308.945627706,-0.5,1,0.81,UPI,96.252.249.232,D1019067,23,Tue,2023-04-04
T4155616,2023-08-16 13:49:12.104,ACC976110,ACC910431,1687.28,deposit,online,LONDON,pos,FALSE,,-803.726280414,0.67,3,0.65,card,84.248.58.96,D1547569,13,Wed,2023-08-16
T4155623,2023-09-08 02:02:58.956,ACC138410,ACC537821,31.65,transfer,utilities,TOKYO,atm,FALSE,,3318.279110864,-2,17,0.06,card,223.120.190.216,D4146822,2,Fri,2023-09-08
T4155630,2023-10-12 19:19:07.282,ACC415786,ACC279814,13.21,transfer,travel,SINGAPORE,mobile,FALSE,,4023.574446655,0.39,1,0.71,wire_transfer,47.82.84.118,D2083733,19,Thu,2023-10-12
T4155637,2023-05-23 21:48:33.931,ACC965190,ACC541401,155.84,payment,restaurant,LONDON,pos,FALSE,,-3019.135722534,-1.15,13,0.78,card,183.176.124.142,D2740487,21,Tue,2023-05-23
T4155644,2023-08-07 15:13:54.966,ACC940684,ACC131042,21.37,payment,travel,LONDON,mobile,FALSE,,-522.873394487,-2.11,1,0.45,ACH,218.166.145.67,D2218330,15,Mon,2023-08-07
T4155651,2023-04-01 00:51:31.174,ACC835709,ACC926402,1279.10,deposit,other,SYDNEY,mobile,FALSE,,-6370.614777177,0.11,17,0.73,card,56.227.114.176,D3622362,0,Sat,2023-04-01
T4155658,2023-11-22 07:18:16.408,ACC381070,ACC540500,44.87,transfer,grocery,TORONTO,atm,FALSE,,4831.067122786,-0.31,6,0.83,UPI,209.50.150.229,D8405137,7,Wed,2023-11-22
T4155665,2023-05-20 13:39:18.018,ACC781118,ACC356552,115.44,payment,travel,SINGAPORE,mobile,FALSE,,-4920.600472684,0.01,11,0.85,ACH,104.61.164.240,D3486180,13,Sat,2023-05-20
T4155672,2023-01-10 08:49:04.597,ACC383256,ACC800723,914.63,deposit,other,TORONTO,mobile,FALSE,,-5751.256275491,-1.27,8,0.67,card,155.57.89.189,D4106776,8,Tue,2023-01-10
T4155679,2023-05-27 20:59:23.807,ACC202821,ACC296153,1640.07,deposit,other,BERLIN,web,FALSE,,-3085.783029709,1.17,20,0.32,UPI,168.247.180.194,D8048596,20,Sat,2023-05-27
T4155686,2023-10-26 15:26:39.325,ACC872386,ACC685725,422.67,withdrawal,travel,LONDON,atm,FALSE,,1406.428800509,0.86,1,0.08,ACH,141.194.52.126,D1114584,15,Thu,2023-10-26
T4155693,2023-02-16 16:45:06.040,ACC123434,ACC524536,155.79,payment,grocery,BERLIN,atm,FALSE,,1041.600639066,1.41,7,0.09,ACH,152.49.144.206,D2824337,16,Thu,2023-02-16
T4155700,2023-12-31 16:07:20.039,ACC265786,ACC633475,693.30,withdrawal,retail,TORONTO,mobile,FALSE,,1687.212383966,0.09,15,0.87,card,48.227.117.77,D7599000,16,Sun,2023-12-31
T4155707,2023-07-13 03:07:14.896,ACC929665,ACC717604,131.10,payment,restaurant,BERLIN,pos,FALSE,,-2335.786075443,-0.42,20,0.18,wire_transfer,92.251.155.219,D2092139,3,Thu,2023-07-13
T4155714,2023-05-07 05:54:14.891,ACC268206,ACC594625,514.18,withdrawal,entertainment,DUBAI,pos,FALSE,,-2655.941383942,-0.45,16,0.02,ACH,105.191.96.117,D4077606,5,Sun,2023-05-07
T4155721,2023-01-30 00:05:22.473,ACC465225,ACC678628,39.71,transfer,utilities,BERLIN,atm,FALSE,,-5907.600326498,1.66,20,0.31,card,98.115.113.253,D3552432,0,Mon,2023-01-30
T4155728,2023-02-01 07:32:08.334,ACC116527,ACC812040,78.15,withdrawal,grocery,TOKYO,pos,FALSE,,-6658.746173562,-1.65,5,0.96,ACH,203.18.121.87,D5952956,7,Wed,2023-02-01
T4155735,2023-11-18 08:55:43.000,ACC752940,ACC580889,76.29,transfer,entertainment,TOKYO,mobile,FALSE,,2856.119564669,0.73,12,0.97,card,140.202.22.217,D5477884,8,Sat,2023-11-18
